"partition_datetime","mean_price"
2022-09-01 06:00:00,8
2022-09-01 06:05:00,8
2022-09-01 06:10:00,8
2022-09-01 06:15:00,8
2022-09-01 06:20:00,8
2022-09-01 06:25:00,8
2022-09-01 06:30:00,8
2022-09-01 06:35:00,8
2022-09-01 06:40:00,8
2022-09-01 06:45:00,8
2022-09-01 06:50:00,8
2022-09-01 06:55:00,8
2022-09-01 07:00:00,8
2022-09-01 07:05:00,8
2022-09-01 07:10:00,8
2022-09-01 07:15:00,8
2022-09-01 07:20:00,8
2022-09-01 07:25:00,8
2022-09-01 07:30:00,8
2022-09-01 07:35:00,8
2022-09-01 07:40:00,8
2022-09-01 07:45:00,8
2022-09-01 07:50:00,8
2022-09-01 07:55:00,8
2022-09-01 08:00:00,8
2022-09-01 08:05:00,8
2022-09-01 08:10:00,8
2022-09-01 08:15:00,8
2022-09-01 08:20:00,8
2022-09-01 08:25:00,8
2022-09-01 08:30:00,8
2022-09-01 08:35:00,8
2022-09-01 08:40:00,8
2022-09-01 08:45:00,8
2022-09-01 08:50:00,8
2022-09-01 08:55:00,8
2022-09-01 09:00:00,8
2022-09-01 09:05:00,8
2022-09-01 09:10:00,8
2022-09-01 09:15:00,9
2022-09-01 09:20:00,9
2022-09-01 09:25:00,9
2022-09-01 09:30:00,9
2022-09-01 09:35:00,9
2022-09-01 09:40:00,9
2022-09-01 09:45:00,9
2022-09-01 09:50:00,27
2022-09-01 09:55:00,27
2022-09-01 10:00:00,7
2022-09-01 10:05:00,7
2022-09-01 10:10:00,7
2022-09-01 10:15:00,7
2022-09-01 10:20:00,41
2022-09-01 10:25:00,41
2022-09-01 10:30:00,41
2022-09-01 10:35:00,41
2022-09-01 10:40:00,41
2022-09-01 10:45:00,41
2022-09-01 10:50:00,41
2022-09-01 10:55:00,27
2022-09-01 11:00:00,27
2022-09-01 11:05:00,7
2022-09-01 11:10:00,7
2022-09-01 11:15:00,7
2022-09-01 11:20:00,7
2022-09-01 11:25:00,41
2022-09-01 11:30:00,41
2022-09-01 11:35:00,41
2022-09-01 11:40:00,41
2022-09-01 11:45:00,41
2022-09-01 11:50:00,41
2022-09-01 11:55:00,41
2022-09-01 12:00:00,27
2022-09-01 12:05:00,27
2022-09-01 12:10:00,7
2022-09-01 12:15:00,7
2022-09-01 12:20:00,7
2022-09-01 12:25:00,7
2022-09-01 12:30:00,41
2022-09-01 12:35:00,41
2022-09-01 12:40:00,41
2022-09-01 12:45:00,41
2022-09-01 12:50:00,41
2022-09-01 12:55:00,41
2022-09-02 06:00:00,41
2022-09-02 06:05:00,27
2022-09-02 06:10:00,27
2022-09-02 06:15:00,7
2022-09-02 06:20:00,7
2022-09-02 06:25:00,7
2022-09-02 06:30:00,7
2022-09-02 06:35:00,8
2022-09-02 06:40:00,8
2022-09-02 06:45:00,8
2022-09-02 06:50:00,8
2022-09-02 06:55:00,8
2022-09-02 07:00:00,8
2022-09-02 07:05:00,8
2022-09-02 07:10:00,8
2022-09-02 07:15:00,8
2022-09-02 07:20:00,8
2022-09-02 07:25:00,8
2022-09-02 07:30:00,8
2022-09-02 07:35:00,8
2022-09-02 07:40:00,8
2022-09-02 07:45:00,8
2022-09-02 07:50:00,8
2022-09-02 07:55:00,8
2022-09-02 08:00:00,8
2022-09-02 08:05:00,8
2022-09-02 08:10:00,8
2022-09-02 08:15:00,8
2022-09-02 08:20:00,8
2022-09-02 08:25:00,8
2022-09-02 08:30:00,8
2022-09-02 08:35:00,8
2022-09-02 08:40:00,8
2022-09-02 08:45:00,8
2022-09-02 08:50:00,8
2022-09-02 08:55:00,8
2022-09-02 09:00:00,8
2022-09-02 09:05:00,8
2022-09-02 09:10:00,8
2022-09-02 09:15:00,8
2022-09-02 09:20:00,8
2022-09-02 09:25:00,8
2022-09-02 09:30:00,8
2022-09-02 09:35:00,8
2022-09-02 09:40:00,8
2022-09-02 09:45:00,8
2022-09-02 09:50:00,9
2022-09-02 09:55:00,9
2022-09-02 10:00:00,9
2022-09-02 10:05:00,9
2022-09-02 10:10:00,9
2022-09-02 10:15:00,9
2022-09-02 10:20:00,9
2022-09-02 10:25:00,27
2022-09-02 10:30:00,27
2022-09-02 10:35:00,7
2022-09-02 10:40:00,7
2022-09-02 10:45:00,7
2022-09-02 10:50:00,7
2022-09-02 10:55:00,41
2022-09-02 11:00:00,41
2022-09-02 11:05:00,41
2022-09-02 11:10:00,41
2022-09-02 11:15:00,41
2022-09-02 11:20:00,41
2022-09-02 11:25:00,41
2022-09-02 11:30:00,27
2022-09-02 11:35:00,27
2022-09-02 11:40:00,7
2022-09-02 11:45:00,7
2022-09-02 11:50:00,7
2022-09-02 11:55:00,7
2022-09-02 12:00:00,41
2022-09-02 12:05:00,41
2022-09-02 12:10:00,41
2022-09-02 12:15:00,41
2022-09-02 12:20:00,41
2022-09-02 12:25:00,41
2022-09-02 12:30:00,41
2022-09-02 12:35:00,27
2022-09-02 12:40:00,27
2022-09-02 12:45:00,7
2022-09-02 12:50:00,7
2022-09-02 12:55:00,7
2022-09-03 06:00:00,7
2022-09-03 06:05:00,41
2022-09-03 06:10:00,41
2022-09-03 06:15:00,41
2022-09-03 06:20:00,41
2022-09-03 06:25:00,41
2022-09-03 06:30:00,41
2022-09-03 06:35:00,41
2022-09-03 06:40:00,27
2022-09-03 06:45:00,27
2022-09-03 06:50:00,7
2022-09-03 06:55:00,7
2022-09-03 07:00:00,7
2022-09-03 07:05:00,7
2022-09-03 07:10:00,8
2022-09-03 07:15:00,8
2022-09-03 07:20:00,8
2022-09-03 07:25:00,8
2022-09-03 07:30:00,8
2022-09-03 07:35:00,8
2022-09-03 07:40:00,8
2022-09-03 07:45:00,8
2022-09-03 07:50:00,8
2022-09-03 07:55:00,8
2022-09-03 08:00:00,8
2022-09-03 08:05:00,8
2022-09-03 08:10:00,8
2022-09-03 08:15:00,8
2022-09-03 08:20:00,8
2022-09-03 08:25:00,8
2022-09-03 08:30:00,8
2022-09-03 08:35:00,8
2022-09-03 08:40:00,8
2022-09-03 08:45:00,8
2022-09-03 08:50:00,8
2022-09-03 08:55:00,8
2022-09-03 09:00:00,8
